"ID","Age","online","Grow.Palous","Grow.PN","Grow.SW","Grow.NE","Grow.SE","Grow.MW","Grow.OUS","Gender","Years","Rent","Supplier.Moscow","Supplier.Pullman","Supplier.Dwell","Supplier.Iwell","Supplier.IDK","Supplier.other","compareuse","statement","awareness","recreation","education","wildlif","energy","flood","Task","Choice","C1.1.Cost","C2.1LargR","C2.1SmallR","C2.1WasteW","C2.1GroundW","C3.1ARebate","C3.1GRebate","C3.1GRestrict","C3.1WRestrict","C4.1AqInj","C4.1Resv","C4.1NoStore","Check","Id2"
24,14,0,1,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,1,3,2,0,0,0,0,0,1,1,20,1,0,0,0,0,1,0,0,0,0,1,1,24.1
25,13,0,0,1,0,0,0,1,0,1,7,2,0,1,0,0,0,0,1,0,2,7,7,7,7,7,1,0,5,0,1,0,0,0,0,0,1,0,0,1,1,25.1
26,13,0,1,0,0,0,0,0,0,1,7,2,0,1,0,0,0,0,1,0,1,7,6,7,7,6,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,26.1
27,15,0,0,0,1,0,0,0,1,2,4,2,0,1,0,0,0,0,1,0,3,0,4,6,6,1,1,1,10,1,0,0,0,1,0,0,0,1,0,0,1,27.1
28,14,0,0,0,1,0,0,0,0,1,7,2,0,1,0,0,0,0,1,0,3,2,7,5,1,5,1,0,10,0,1,0,0,1,0,0,0,1,0,0,1,28.1
29,10,0,0,0,1,0,0,0,0,1,7,2,0,0,1,0,0,0,1,7,3,0,0,3,4,4,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,29.1
30,10,0,0,0,0,1,0,1,0,1,6,2,0,0,0,1,0,1,1,7,3,3,6,6,6,5,1,0,30,0,0,0,1,1,0,0,0,1,0,0,1,30.1
31,14,0,0,0,0,1,0,0,0,1,7,2,0,0,0,0,0,1,1,3,4,0,0,7,7,2,1,1,5,1,0,0,0,0,1,0,0,1,0,0,1,31.1
32,15,0,0,1,0,0,0,0,0,2,7,2,0,0,1,0,0,1,1,7,4,4,5,6,6,6,1,0,5,0,1,0,0,0,0,0,1,1,0,0,1,32.1
33,14,0,0,0,0,1,0,0,0,1,7,2,0,0,1,0,0,0,1,7,4,7,7,7,7,7,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,33.1
34,14,0,0,1,0,0,0,0,0,3,7,2,0,1,0,0,0,0,1,4,1,5,5,7,6,6,1,0,5,0,1,0,0,1,0,0,0,0,0,1,1,34.1
35,15,0,0,0,0,0,0,0,1,1,7,2,0,1,0,0,1,0,1,5,3,5,4,6,7,6,1,1,30,0,0,0,1,0,0,1,0,0,0,1,1,35.1
36,13,0,0,1,0,0,0,0,0,2,7,2,0,1,0,0,0,0,1,4,2,4,3,5,3,5,1,1,20,0,0,1,0,0,0,0,1,0,1,0,1,36.1
37,8,0,0,1,0,0,0,1,0,3,7,1,0,1,0,0,0,0,1,5,1,5,5,7,7,5,1,1,5,1,0,0,0,0,0,0,1,1,0,0,1,37.1
38,10,0,0,1,0,0,0,0,0,2,7,2,0,1,0,0,0,0,1,7,3,7,6,7,6,4,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,38.1
39,10,0,1,0,0,0,0,0,0,2,4,2,1,0,0,0,0,0,1,7,2,3,2,7,6,3,1,0,10,0,1,0,0,1,0,0,0,0,1,0,1,39.1
40,10,0,1,1,0,0,0,1,0,2,2,1,1,0,1,0,0,0,1,5,1,4,2,5,5,6,1,0,10,1,0,0,0,0,1,0,0,0,0,1,1,40.1
41,9,0,0,0,0,0,0,1,0,2,3,1,1,0,0,0,0,0,1,7,1,4,5,7,5,6,1,0,10,0,1,0,0,1,0,0,0,0,0,1,1,41.1
42,15,0,0,0,0,1,0,0,0,2,7,2,1,0,0,0,0,0,1,7,3,0,6,7,7,6,1,0,10,1,0,0,0,0,1,0,0,1,0,0,1,42.1
43,9,0,1,0,0,0,0,0,0,2,7,2,1,0,0,0,0,0,1,7,2,5,7,7,7,5,1,1,10,0,0,1,0,0,0,0,1,0,1,0,1,43.1
44,8,0,0,1,0,0,0,0,0,1,3,1,0,1,0,0,0,0,1,7,2,3,3,6,5,6,1,1,5,1,0,0,0,0,0,1,0,0,0,1,1,44.1
45,15,0,0,0,0,0,0,1,0,2,7,1,1,0,0,1,0,0,1,7,3,4,5,6,0,6,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,45.1
46,13,0,0,0,0,1,0,0,0,2,6,2,1,0,0,0,0,0,1,7,3,0,6,2,7,2,1,1,5,1,0,0,0,0,1,0,0,0,1,0,1,46.1
47,9,0,0,0,0,0,1,0,0,3,4,1,0,1,0,0,0,0,1,7,3,1,1,5,3,3,1,0,10,1,0,0,0,0,0,1,0,1,0,0,1,47.1
48,13,0,0,0,0,0,0,1,0,1,4,2,1,0,0,0,0,0,1,7,3,4,4,4,4,4,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,48.1
49,9,0,1,0,0,0,0,0,0,1,7,1,0,0,1,0,0,0,1,7,3,5,7,7,7,6,1,1,30,0,1,0,0,0,0,1,0,1,0,0,1,49.1
50,9,0,0,1,0,0,0,1,0,1,7,1,0,0,0,0,1,0,1,7,1,7,7,7,7,7,1,1,5,1,0,0,0,1,0,0,0,1,0,0,1,50.1
51,10,0,0,1,0,0,0,0,0,1,4,1,1,0,0,0,0,0,1,7,2,5,5,6,4,5,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,51.1
52,10,0,1,1,0,0,0,1,0,2,5,2,1,0,0,0,0,0,1,7,2,7,7,7,7,7,1,0,20,0,0,1,0,1,0,0,0,1,0,0,1,52.1
53,9,0,1,0,0,0,0,0,0,1,7,1,1,0,0,0,0,0,1,7,2,5,5,7,1,2,1,1,5,1,0,0,0,0,0,1,0,0,0,1,1,53.1
54,13,0,0,0,0,0,0,1,0,2,7,2,1,0,0,0,0,0,1,7,4,5,4,4,5,4,1,1,20,0,0,0,1,1,0,0,0,1,0,0,1,54.1
55,13,0,0,1,0,0,0,0,0,3,7,1,1,0,0,0,0,0,1,5,3,0,0,5,0,0,1,1,30,1,0,0,0,0,0,0,1,0,0,1,1,55.1
56,14,0,1,0,0,0,0,0,0,1,7,2,0,0,1,0,0,0,1,7,3,0,0,7,0,0,1,1,5,0,0,1,0,1,0,0,0,1,0,0,1,56.1
57,13,0,1,0,0,0,0,0,0,1,7,1,1,0,0,0,0,0,1,0,2,6,5,6,7,7,1,0,5,0,0,0,1,1,0,0,0,0,0,1,1,57.1
58,9,0,1,0,0,0,0,0,0,1,7,1,1,0,0,0,1,0,1,6,2,6,6,6,5,5,1,1,5,0,0,0,1,0,0,1,0,1,0,0,1,58.1
59,14,0,1,1,0,0,0,0,0,1,7,2,1,0,0,0,0,0,1,5,2,5,3,5,5,5,1,0,10,0,1,0,0,0,1,0,0,1,0,0,1,59.1
60,15,0,1,0,0,0,0,0,0,1,7,1,1,0,0,0,0,0,1,6,1,6,6,5,5,5,1,1,20,1,0,0,0,0,1,0,0,1,0,0,1,60.1
61,9,0,0,1,1,0,0,0,0,1,3,1,0,0,0,0,1,0,1,7,2,5,5,7,7,7,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,61.1
62,13,0,0,0,0,0,1,0,0,2,6,2,1,0,0,0,0,0,1,7,2,6,5,6,6,7,1,1,30,0,1,0,0,1,0,0,0,0,0,1,1,62.1
63,15,0,0,0,1,0,0,0,0,1,5,2,0,1,0,0,0,0,1,6,3,5,7,7,7,4,1,0,10,1,0,0,0,0,0,0,1,1,0,0,1,63.1
64,14,0,0,0,0,0,1,0,0,1,7,2,1,0,0,0,0,0,1,6,3,2,5,7,6,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,64.1
65,13,0,0,1,0,0,0,0,0,2,5,2,1,0,0,0,0,0,1,5,3,0,4,7,7,0,1,0,20,1,0,0,0,0,1,0,0,0,0,1,1,65.1
66,14,0,0,0,1,0,0,0,0,2,7,2,0,0,0,1,0,0,1,0,3,3,3,7,7,1,1,0,30,0,0,1,0,0,0,1,0,1,0,0,1,66.1
67,15,0,0,0,0,0,0,1,0,1,7,2,0,0,1,1,0,0,1,7,4,0,0,5,4,4,1,0,5,0,1,0,0,0,1,0,0,0,0,1,1,67.1
68,15,0,0,0,0,0,0,0,0,2,7,2,1,0,0,0,0,0,1,7,3,3,5,6,6,7,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,68.1
69,9,0,1,1,0,0,0,0,0,2,5,1,1,0,0,0,0,0,1,0,3,0,2,4,5,6,1,0,20,0,0,0,1,0,0,1,0,0,0,1,1,69.1
70,14,0,0,0,0,0,0,0,1,2,5,2,1,0,0,0,0,0,1,7,4,0,7,7,7,7,1,0,5,0,0,0,1,0,0,0,1,1,0,0,1,70.1
71,9,0,0,1,1,0,0,0,0,1,6,2,0,0,0,0,0,1,1,0,3,7,7,7,7,7,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,71.1
72,15,0,0,0,0,0,0,1,0,2,7,2,1,0,0,0,1,0,1,0,3,2,5,3,5,3,1,1,5,1,0,0,0,1,0,0,0,0,0,1,1,72.1
73,9,0,0,0,1,0,0,1,0,1,7,2,0,0,0,1,0,0,1,7,3,5,5,7,7,7,1,0,10,0,1,0,0,1,0,0,0,0,1,0,1,73.1
74,14,0,1,0,0,0,0,0,0,2,7,2,0,0,1,0,0,0,1,0,3,7,7,7,0,3,1,0,5,1,0,0,0,0,0,1,0,0,1,0,1,74.1
75,13,0,0,1,0,0,0,0,0,2,6,2,0,0,1,1,0,0,1,6,3,2,2,2,5,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,75.1
76,9,0,0,0,0,0,0,1,0,2,7,2,1,0,0,0,0,0,1,7,3,4,5,6,6,5,1,1,30,0,1,0,0,0,1,0,0,0,0,1,1,76.1
77,10,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,20,0,0,1,0,0,0,1,0,0,0,1,1,77.1
78,15,0,0,1,0,0,0,0,0,2,7,2,1,0,0,0,0,0,1,7,3,4,5,7,7,4,1,1,10,0,0,1,0,1,0,0,0,0,0,1,1,78.1
79,13,0,0,0,0,1,0,0,0,2,5,2,1,0,0,0,0,0,1,6,3,6,5,7,7,5,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,79.1
80,15,0,0,0,0,1,0,0,0,1,5,2,0,0,0,0,0,0,1,7,3,4,3,5,2,5,1,1,5,1,0,0,0,0,1,0,0,0,1,0,1,80.1
81,14,0,1,0,0,0,0,0,1,2,7,2,1,0,0,0,0,0,1,7,4,1,1,3,7,3,1,0,5,0,1,0,0,0,0,1,0,1,0,0,1,81.1
82,10,0,1,0,0,0,0,0,0,1,7,2,1,0,0,0,0,0,1,7,3,3,4,5,2,5,1,1,30,0,0,0,1,0,0,0,1,0,0,1,1,82.1
83,15,0,1,0,0,0,0,0,0,2,5,2,1,0,0,0,0,1,1,5,3,5,6,5,4,3,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,83.1
84,13,0,1,0,0,0,0,0,0,2,7,2,1,0,0,0,0,0,1,7,3,5,5,7,7,7,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,84.1
85,15,0,0,0,0,0,0,1,0,1,6,2,1,0,0,0,0,0,1,7,3,5,5,7,5,7,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,85.1
86,8,0,0,0,0,0,0,1,0,1,3,1,0,1,1,0,0,0,1,5,1,6,3,7,5,5,1,0,20,0,0,0,1,1,0,0,0,0,0,1,1,86.1
87,8,0,0,0,0,0,0,1,0,2,3,1,0,1,1,0,0,0,1,7,1,2,2,6,5,4,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,87.1
88,14,0,0,0,0,0,1,1,0,2,2,2,1,0,0,0,0,0,1,6,2,3,3,4,4,4,1,0,20,0,0,1,0,1,0,0,0,0,1,0,1,88.1
89,15,0,0,1,0,0,0,0,0,2,5,2,1,0,0,0,0,0,1,7,3,7,5,7,7,7,1,0,20,0,1,0,0,0,0,0,1,0,0,1,1,89.1
90,8,0,0,1,0,0,0,0,0,2,3,1,0,0,0,0,1,0,1,6,2,5,2,7,6,4,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,90.1
91,13,0,0,1,0,0,0,0,0,2,7,2,1,0,0,0,0,0,1,7,3,3,0,5,5,5,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,91.1
92,13,0,0,1,0,0,0,1,0,3,7,2,1,0,0,0,0,0,1,7,3,6,7,6,6,7,1,1,10,0,0,1,0,0,0,1,0,1,0,0,1,92.1
93,14,0,0,0,0,0,0,0,1,2,2,1,1,0,0,0,0,0,1,7,2,4,4,6,6,4,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,93.1
94,9,0,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,1,7,1,6,7,7,7,7,1,0,10,0,0,1,0,0,1,0,0,0,0,1,1,94.1
95,10,0,0,0,0,1,0,0,1,3,2,2,1,0,0,0,0,0,1,7,1,5,4,7,7,7,1,1,10,0,1,0,0,1,0,0,0,0,1,0,1,95.1
96,9,0,1,0,0,0,0,0,0,1,7,2,0,0,1,0,0,0,1,7,2,7,7,7,7,7,1,0,10,1,0,0,0,0,0,0,1,0,0,1,1,96.1
97,15,0,0,0,1,0,0,0,0,2,4,2,1,0,0,0,0,0,1,7,3,7,7,7,0,0,1,1,30,0,0,0,1,0,0,1,0,1,0,0,1,97.1
98,14,0,0,0,0,0,0,1,0,1,7,1,1,0,0,0,0,0,1,7,1,5,4,5,5,5,1,0,30,1,0,0,0,0,0,1,0,0,0,1,1,98.1
99,14,0,1,0,0,0,0,1,0,1,7,2,1,0,0,0,0,0,1,7,4,7,5,7,7,7,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,99.1
100,15,0,0,0,1,0,0,0,0,2,7,2,1,0,0,0,0,1,1,7,4,7,7,7,7,7,1,0,30,1,0,0,0,0,1,0,0,0,0,1,1,100.1
101,9,0,1,0,0,0,0,0,0,2,7,4,1,0,0,0,1,0,1,7,2,5,6,7,6,7,1,1,5,0,0,1,0,0,1,0,0,0,1,0,1,101.1
102,15,0,0,0,0,1,0,0,0,2,7,2,1,0,0,1,0,0,1,7,3,6,6,7,7,7,1,1,30,0,0,1,0,0,0,1,0,1,0,0,1,102.1
103,13,0,0,0,0,1,1,0,0,2,5,1,1,0,0,0,0,0,1,7,2,7,7,7,6,7,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,103.1
104,9,0,0,0,0,0,1,0,0,2,3,1,1,0,0,0,0,0,1,7,2,4,7,7,7,4,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,104.1
105,13,0,0,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0,1,7,2,7,7,7,7,7,1,1,20,0,0,0,1,1,0,0,0,0,0,1,1,105.1
106,10,0,1,0,0,0,0,0,0,2,7,2,0,0,1,1,0,0,1,5,3,6,5,7,7,7,1,1,10,0,1,0,0,0,1,0,0,1,0,0,1,106.1
107,8,0,0,0,0,0,0,1,0,1,3,1,0,1,0,0,0,0,1,7,1,3,7,7,5,2,1,1,20,0,0,1,0,0,0,0,1,1,0,0,1,107.1
108,10,0,0,1,0,0,0,0,0,3,7,2,0,0,1,0,0,0,1,6,3,1,4,4,3,3,1,1,5,1,0,0,0,1,0,0,0,0,1,0,1,108.1
109,10,0,0,1,0,0,0,0,0,1,5,1,1,0,0,0,0,0,1,6,3,5,5,6,3,3,1,0,10,0,1,0,0,1,0,0,0,0,0,1,1,109.1
110,8,0,1,1,0,0,0,0,0,2,7,1,1,0,0,0,0,0,1,7,4,4,7,7,7,7,1,1,20,0,1,0,0,0,1,0,0,0,1,0,1,110.1
111,13,0,0,1,0,0,0,0,0,1,3,2,1,0,0,0,0,0,1,7,2,5,5,5,5,5,1,1,30,1,0,0,0,0,0,1,0,0,1,0,1,111.1
112,8,0,1,0,0,0,0,0,0,3,7,1,1,0,0,0,0,0,1,7,3,4,6,7,5,7,1,1,10,0,0,1,0,1,0,0,0,1,0,0,1,112.1
113,15,0,1,0,0,0,0,1,0,2,7,2,1,0,0,0,0,0,1,7,3,5,2,7,7,5,1,0,10,0,1,0,0,0,1,0,0,1,0,0,1,113.1
114,9,0,0,1,0,0,0,0,0,1,2,1,0,1,0,0,0,0,1,7,1,5,4,5,6,5,1,1,5,0,0,0,1,0,0,0,1,0,1,0,1,114.1
115,13,0,0,1,0,0,0,0,0,3,2,1,0,1,0,0,0,0,1,7,1,7,7,7,7,7,1,0,30,0,0,0,1,0,0,0,1,0,1,0,1,115.1
116,14,0,0,0,0,1,0,0,0,1,5,2,0,1,0,0,0,0,1,7,1,3,3,4,7,7,1,0,20,0,0,0,1,1,0,0,0,0,1,0,1,116.1
117,10,0,0,0,0,1,0,0,0,1,7,2,0,1,0,0,0,0,1,6,3,1,1,1,1,1,1,1,10,0,1,0,0,0,1,0,0,1,0,0,1,117.1
118,10,0,0,0,1,0,0,0,0,2,6,2,0,1,0,0,0,0,1,7,3,2,4,4,5,4,1,1,20,1,0,0,0,0,0,0,1,0,0,1,1,118.1
119,15,0,1,0,0,0,0,1,0,2,7,2,0,1,0,0,0,0,1,6,2,3,3,7,3,5,1,1,10,0,0,1,0,0,1,0,0,0,0,1,1,119.1
120,10,0,0,1,0,0,0,0,0,1,6,2,0,1,0,0,0,0,1,6,2,1,1,1,5,4,1,1,30,0,0,1,0,0,0,0,1,0,0,1,1,120.1
121,10,0,1,0,0,0,0,0,0,1,7,2,0,1,0,0,0,0,1,5,2,5,4,5,2,2,1,0,30,0,1,0,0,0,0,1,0,0,0,1,1,121.1
122,15,0,0,0,0,0,1,0,0,2,6,1,0,0,1,0,0,0,1,7,1,6,6,6,6,7,1,1,30,0,0,0,1,0,0,0,1,1,0,0,1,122.1
123,13,0,1,0,0,0,0,0,0,1,7,2,0,1,0,0,0,0,1,7,3,7,7,7,7,7,1,1,30,0,0,0,1,1,0,0,0,0,1,0,1,123.1
124,14,0,1,0,1,0,0,0,0,1,7,4,1,0,0,0,0,0,1,7,3,0,7,7,7,4,1,0,10,0,0,0,1,0,0,1,0,1,0,0,1,124.1
125,15,0,0,1,0,0,0,0,0,1,7,2,1,0,0,0,0,0,1,6,4,3,4,4,6,4,1,1,10,1,0,0,0,0,1,0,0,1,0,0,1,125.1
126,15,0,0,0,0,1,0,0,0,2,7,2,0,0,1,1,0,0,1,7,3,7,4,7,7,4,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,126.1
127,10,0,0,0,0,0,0,1,0,1,5,1,0,1,0,0,0,0,1,6,2,2,2,3,5,6,1,1,30,1,0,0,0,0,0,1,0,0,1,0,1,127.1
128,9,0,0,0,1,0,0,0,0,1,7,1,0,1,0,0,1,0,1,7,1,7,7,6,7,7,1,1,20,1,0,0,0,0,0,0,1,0,1,0,1,128.1
131,13,0,0,1,0,0,1,0,0,2,7,2,1,0,0,0,0,0,1,7,2,5,5,5,7,5,1,1,10,0,0,1,0,0,0,0,1,0,1,0,1,131.1
132,8,0,0,1,0,0,0,0,0,2,4,2,1,0,0,0,0,0,1,7,1,6,7,7,6,6,1,1,20,0,0,1,0,0,1,0,0,0,0,1,1,132.1
133,8,0,0,1,0,0,0,0,0,1,4,1,1,0,0,0,0,0,1,7,3,5,4,7,5,5,1,1,20,0,0,0,1,0,0,1,0,0,1,0,1,133.1
134,15,0,0,0,0,0,0,0,1,1,4,4,1,0,0,0,0,0,1,5,2,7,7,7,7,7,1,0,5,1,0,0,0,0,1,0,0,0,1,0,1,134.1
135,13,0,1,0,0,0,0,0,0,1,7,2,1,0,0,0,0,0,1,7,1,5,5,4,6,4,1,0,30,1,0,0,0,0,0,1,0,1,0,0,1,135.1
136,13,0,0,0,0,0,0,1,0,1,7,2,0,0,1,1,0,0,1,7,3,2,2,4,5,6,1,0,5,0,1,0,0,1,0,0,0,1,0,0,1,136.1
137,8,0,0,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,1,5,1,5,6,6,4,4,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,137.1
138,10,0,0,0,1,0,0,0,0,2,5,1,1,0,0,0,0,0,1,7,1,4,3,4,5,6,1,0,30,0,0,1,0,0,1,0,0,0,1,0,1,138.1
139,13,0,0,0,0,0,0,1,0,1,6,2,1,0,0,0,0,0,1,7,4,2,3,4,7,1,1,0,30,0,1,0,0,0,0,1,0,0,1,0,1,139.1
140,15,0,0,0,1,0,0,0,0,2,5,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,20,0,1,0,0,0,1,0,0,1,0,0,1,140.1
141,9,0,0,0,0,0,1,0,0,2,5,1,1,0,0,0,1,0,1,7,2,6,7,7,7,7,1,1,30,0,0,1,0,0,0,0,1,0,1,0,1,141.1
142,15,0,0,0,0,0,0,1,0,3,3,2,1,0,0,0,0,0,1,7,3,4,5,5,5,5,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,142.1
143,10,0,0,0,0,0,0,1,0,2,3,2,0,1,0,0,0,0,1,6,2,7,7,7,7,7,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,143.1
144,9,0,1,1,0,0,0,0,0,1,5,2,1,0,0,0,0,0,1,7,3,1,3,7,7,4,1,1,10,0,0,0,1,0,0,1,0,1,0,0,1,144.1
145,14,0,0,1,0,0,0,0,0,2,4,4,1,0,0,0,0,0,1,7,3,5,0,7,7,7,1,1,5,0,0,1,0,1,0,0,0,0,0,1,1,145.1
146,10,0,0,0,0,0,0,1,0,2,6,2,1,0,0,0,0,0,1,7,3,4,4,6,7,4,1,1,5,1,0,0,0,0,0,0,1,1,0,0,1,146.1
147,15,0,1,0,0,1,0,1,0,3,6,2,0,0,1,0,0,0,1,0,3,4,3,3,0,3,1,0,20,0,0,1,0,0,0,1,0,0,0,1,1,147.1
148,13,0,1,0,0,0,0,0,0,1,7,2,0,0,0,0,1,1,1,7,3,7,6,6,6,6,1,1,10,0,0,0,1,1,0,0,0,0,1,0,1,148.1
149,9,0,0,0,1,0,0,0,1,1,3,2,0,0,0,0,1,0,1,1,1,1,1,0,0,7,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,149.1
150,14,0,1,0,0,0,0,0,0,3,7,2,0,0,1,0,0,0,1,4,1,6,5,6,5,6,1,1,20,0,0,0,1,0,0,0,1,0,1,0,1,150.1
151,10,0,0,1,0,0,0,0,0,2,7,2,0,0,0,0,0,1,1,5,2,6,6,6,6,6,1,1,5,0,0,0,1,0,1,0,0,0,0,1,1,151.1
152,9,0,0,1,0,0,0,0,0,2,5,1,1,1,0,0,0,0,1,6,4,2,7,5,5,3,1,1,10,0,0,0,1,0,0,1,0,0,0,1,1,152.1
153,9,0,0,1,0,0,0,0,0,1,5,1,0,0,1,0,0,0,1,7,1,3,3,5,3,5,1,1,5,1,0,0,0,1,0,0,0,0,1,0,1,153.1
154,9,0,1,0,0,0,0,0,0,2,7,2,0,1,0,0,0,1,1,7,1,7,7,7,7,7,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,154.1
155,14,0,0,1,0,0,0,0,1,2,7,2,0,0,1,0,0,0,1,4,3,0,5,4,7,6,1,0,5,0,0,0,1,1,0,0,0,1,0,0,1,155.1
156,15,0,1,0,0,0,0,0,0,2,7,2,0,0,0,0,0,1,1,5,3,5,6,6,7,6,1,1,30,0,1,0,0,0,1,0,0,0,1,0,1,156.1
157,15,0,0,0,0,1,0,0,0,2,5,2,0,0,1,0,0,0,1,5,3,4,5,6,6,6,1,1,5,0,0,1,0,1,0,0,0,0,1,0,1,157.1
158,14,0,0,0,0,1,0,0,1,2,7,2,0,1,0,0,0,0,1,5,2,7,4,5,5,5,1,1,10,0,1,0,0,0,1,0,0,0,1,0,1,158.1
159,10,0,0,1,0,0,0,0,0,2,4,2,0,0,0,0,0,1,1,0,1,0,4,5,4,5,1,1,10,0,1,0,0,0,0,1,0,0,1,0,1,159.1
